Devname1,Devname2,Tossingprob
aeschli,markus.schorn,3.28E-03
aeschli,markus_huebscher,3.28E-03
aeschli,markus_keller,3.93E-02
aeschli,martin_aeschlimann,2.62E-02
aeschli,mdelder,9.84E-03
aeschli,michael_valenta,3.28E-03
aeschli,mike_wilson,1.31E-02
aeschli,mylyn-inbox,3.28E-03
aeschli,nick_edgar,1.31E-02
aeschli,noopur_gupta,3.28E-03
aeschli,olivier_thomann,9.84E-03
aeschli,pde-ui-inbox,9.84E-03
aeschli,philip_mayer,6.56E-03
aeschli,philippe_mulet,1.97E-02
aeschli,platform-ant-inbox,6.56E-03
aeschli,platform-compare-inbox,3.28E-03
aeschli,platform-debug-inbox,6.56E-03
aeschli,platform-help-inbox,1.31E-02
aeschli,platform-resources-inbox,6.56E-03
aeschli,platform-runtime-inbox,9.84E-03
aeschli,platform-search-inbox,9.84E-03
aeschli,platform-swt-inbox,2.62E-02
aeschli,platform-team-inbox,9.84E-03
aeschli,platform-text-inbox,1.31E-02
aeschli,platform-ua-inbox,1.31E-02
aeschli,platform-ui-inbox,4.26E-02
aeschli,platform-update-inbox,3.28E-03
aeschli,pwebster,3.28E-03
aeschli,quartz12h,6.56E-03
aeschli,ralf.steck,3.28E-03
aeschli,rfaust,6.56E-03
aeschli,richkulp,3.28E-03
aeschli,rob.elves,3.28E-03
aeschli,saff,3.28E-03
aeschli,sgunturi,3.28E-03
aeschli,silvio_boehler,1.31E-02
aeschli,simon_arsenault,3.28E-03
aeschli,snorthov,3.28E-03
aeschli,thomas_maeder,6.56E-03
aeschli,till_bay,3.28E-03
aeschli,tkw,3.28E-03
aeschli,tobias_widmer,2.95E-02
aeschli,tod_creasey,3.28E-03
aeschli,tom_eicher,3.28E-03
aeschli,unknown,3.28E-03
aeschli,wst-inbox,3.28E-03
aeschli,wst.common-inbox,3.28E-03
aeschli,yarik,3.28E-03
agarcher,aeschli,9.09E-02
agarcher,baumanbr,9.09E-02
agarcher,caniszczyk,9.09E-02
agarcher,cgold,3.64E-01
agarcher,darin.eclipse,9.09E-02
agarcher,pde-ui-inbox,9.09E-02
agarcher,platform-compare-inbox,9.09E-02
agarcher,wassim.melhem,9.09E-02
agarwasa,jlanuti,1
agcattle,aniefer,2.00E-01
agcattle,dj_houghton,2.00E-01
agcattle,equinox.p2-inbox,2.00E-01
